BookAbbrev	Chapter:Verse	Annotation
Gn	22:13	Abraham lifted vp his eyes , and faw behind his backe a ramme amongit the briers iticking fait by the hornes , which hcrooke oes Heretikes and other' infidels doe perfecure, when either by word or fword they impugne the truth, The third pro- iphecie in. the ‘Office before M and fter eue, And ‘the firft on i} . ; whitfun-eue, (#) This hifto. f Tie is cleere, ‘and a inoft no- jtorious exam~ [ ‘ple of perfect. ‘obedience, Maile on Ea-] — ~ --- PAGE 90 --- Cb) It is a ecarcful and religious thing , by na- {ming of places to conferue the memorie of Gods benefits, that pofteritie may know thé. 48, in Gen. (¢) Nachors ‘ progenie is here mentio- ‘ned to thew whence Re- becca came, whom Ifaac not to euil, but by experience maketh knowé what vertue is in men. Ifaac figured Chrifts diuini. tie, the Ram- ame his huma- Enitic, (4) A cleare example of re- igious Othce i burying the dead. See 2. Reg. t. and 2, Paral, 35; ‘mies , 18. and-I God tempteth © ‘and aliue againe, Ifaac alfo inthis aétion fignified the diuinitic of Chrift which -- of Epbren , 15. for foure hundred ficles. GENES 1S. Abraham, & offered an holocautt inftead of his fonne.14.And he called the name of that place,(b)Our Lord feeth. Whereupon euen to this day itis faid, In the mountaine our Lord wil fee. 15 _And the Angel of our Lord cal- ted Abraham the fecdd time from heauen,faying: 16.By my owne {elte hauel fworne , faith the Lord : becaufe thou hait done this thing , and haft not {pared thine onlie begotten fonne for my fake;t7.1 wil bleffe thee , and IT wil multiplic thy Reed as the ftarres of heauen , and as the fand that is by the fea thore : thy feed.thal poffeffe the gates of his ene- N THY SEEDE SHAL BE BLESSED AL THE NATIONS OF THE EARTH, becaufe thou haft obeyed my voice. 19. Abraham returned to his yong men , and they went to Berfabee together , and he dwelethere. 20. Thefe things fo being done , it was (¢) told Abraham that Melea alfo had borne childrento Nachor his brother , 21. Hus the firit- begotten , and Buz his brother , and Camuel the father of the Sirians , 22. and Cafed , and Azau.,Pheldas alfo and Iedlaph, 2:. and Bathuel, of whom was borne Rebecca : thefecight did Melcha beare to Nachor Abrahains brother.
Gn	22:24	And his concubine , named Roma , bare Tabee , and Gaham, and Fahas , and Maacha. ANNOTATIONS.
Gn	22:1	but by trial and experiment maketh nen knowen to the world , as here Abrahams faith and fingular obedience were manifefted, when he dowbted not Te offer his only-begotiem in Sacrifice > Accommring that Gedis able so raife up enen from she dead, Wherupon he ¢, Aug, receiued his fonne againe in parable, that is, in figure and myfteric of Chrift dead {uffered not , and the ramme ainong the briars figured his huimanitie , that should be offered in Sacrifice to God. CHAP XXIIL Sara dying Abrabams folemnixeth ber faneral:4. byeth 4 field with « double caue
Gn	22:19	and there burieth ber. ~ ND Sara liued an hundred twentie feauen yeares.2, And S the died in thecitie of Arbee which is Hebron , in the land of Chanaan : And Abraham came to mourne and f4e.1.13 Hebvit. 19. li, 16. ¢. j2.ciné, T heod 9.72. in Ges. weepe for her. 3. And atter that he wasrifen vp from pds) -(2).the funeral. obfequies , he fpake to the children of faying : 4. I am a ftranger and pilgrime among you : giue me “Te --- PAGE 91 --- ; Abraham. GENESIS. 73 me the right ot a fepulchre with you , that I may burie my dead. s. The children of Heth anfwered , faying : 6. My Lord heare vs, thou art a Prince of God aimong vs : in our principal fepulchres burie thouthy dead : and no mancan let thee but that in his owne monu- ment thou mayft burie thy dead. 7. Abraham rofe vp and (b) adored (6) Adoration the people of the land , towit the children of Heth ; 8. and he {aid vfed for reue- tothem: If it pleafe your foule that I burie my dead , heare me, and jFence done to be interceffours for me to Ephron the fonne ot Secor: 9g,.that he giue nes Secale me the double caue , which he hath in the vttermoft part of his jy, 7. and. held: for money to the worth therof let him deliucr ic tome before edmg. 9.61. in b you for poffeffion of a fepulchre. ro, And Ephron dwelt in the mid- Gem ’ deft of che children of Heth. And Ephron made anfwer to Abraham in the hearing of al-that went in at the gate of the citie, faying : u1. No, it fhal not be fo , my Lord ,. but thou rather hearken to that which I doe fay :. The field I deliuer to thee , and the-caue that is therin, in the prefence of the children of my people , burie thy dead. r2, Abraham adored betore the people of the land. 13. And he fpoke. to Ephron , his people ftanding round about : I befeech thee to heare me ; I wil giue money tor the field : take it , and fo I wil burie my dead in it. 14. And Ephron anfwered : 15. My. Lord’. heare me. The ground which thou defireft is worth foure hundred ficles of filuer ; this is the price between me and thee : but how much is this ? burie thy dead.ié. Which when Abraham had heard, he weyghed the money that Ephron had asked , in.the hea-. rag of the children of Heth ,. foure hundred ficles of filuer of common currant money. #7. And the field that before time was. Ephrons , wherin was the double caue , looking towards Mambre , as Wel it , as the caue , and. al the trees theroft in al the limits ther- of round. obout , 18. was made fure to Abraham for a pofieffion ,. in the fight of the children of Heth , and of. al that went in at the gate of his. citie. 19, And fo Abraham buried Sara his wite in the double cauc of the field , that looked towards Mambre , this is Hebron in the land of Chanaan,.20. And the field was made fure to Abraham , and the caue that was in it , for a pofleffion to buricin, of. the Children.of Heth. ; —~ M 2 CH AP, --- PAGE 92 --- (a)In chooling awifea vertu- ous ftock and familie, efpeci- ally true faith and religion, are beforc al other things to be confide- ted and prefer- red. §. Wm), fi, t. ¢. 9, de Abrah.S, Chri- Sef. ho, 48. in Gen, GENESIS. Abraham.
Gn	22:7	Our Lord God of heauen , which tooke me out of ny fathers houfe, and out of my natiue countrie , which {pake to mc , and {ware to me, faying: To thy feed will give this land; he thal fend his Angcl betore thee , and thou fhal take from thence a wife for my fonne : & but if the woman wil not folow thee , thou fhalt not be bound by the oath: only bring not my fonne thither againe. 9. The feruant therfore put his hand vnder the thigh of Abraham his Lord , and {ware to him vpon this word. 10. And: he tooke tcn camels of his Lords heard , and departed , of al his goods carying fomcthing with him , and fetting forward went on into Mefopotamia to the citie of Nachor. 11. And when he had made the camels lye downe without the towne befide a wel of watcr at euen , at the time when women are wont to come forth to draw water , he faid: 1:.O Lord God of my Lord Abraham, meet me to day ,1 befecch thee , and doe mercitully with my Maiter Abraham. 13. Behold I {tand nigh to the fountaine of water and the daughters of the inha- biters ot this citie wil come forth to draw watcr. 14. Therfore @ the maid , to whom I fal fay : Bow downe thy tankard that 1 may drinke ; and ihe thal anfwer: Drinke , yea to thy caimcls alfo vil i ciue drinke ; fhe it is, whom thou haft prouided tor thy feruant Ifaac: and by this I fhal vnderftand , that thou halt deit mercitully with --- PAGE 93 --- A braham. GENESIS. 75 with my Matter. 1). Neither nad he yet ended thefe words witnia him felfe,8¢ behold Rebecca came forth,the daughter of Bathuel, the fonne of Melcha, wifeto Nachor the brother of Abraham , having a tankard on her thoulder; 16. a pafling comely maid,& moft beautiful vargin, & not knowen to man:and fhe was gone downeto the tountaine,and had filled her tankard and came backe. 17. And the feruantranne to meer her,and faid: Giue me alittle water to drinke of thy tankard, 12. Who j anfwered: Drinke my Lord. And quickly fe let downe the tankard vpon her arme,and gaue him drinke. 19. And when he had drunke,the added : but for thy “camels alfo I wil draw water , til al doe drinke.
Gn	22:20	And powring out the tankard into the troughs, re ranne backe to oO the welto draw water:and being drawen gauc itto al the camels. 21.Bur he mufing beheld her with filence , defirous to know whether our Lord had made his iourney profperous ornot, 22. And aftertharthe camels had drunke,the man plucked forth golden carcletre 8, weyshing two ficles , and as manie braceletts of tenne icles weight. 2;. And he {aid to her : Whofe daughter artthou 2 fhew me ; is there anie place in thy fathers houfe to lodge : 2 24. Who anfwered: 1 am the daughter of Bathuel, the fonne of Melcha, whom fhe bare to Nachor, 2<. And fhe added ,faying : : Of ftraw alfo and hay we haue good ftore , and alarge place to lodge in. 26. The man bowed himfelfe, and adored our Lord,
Gn	22:27	faying: Bleffed be the Lord God of mv Lord Abzaham that hath not taken away his mercie & truth from my Lord,and hath brought mc the ftreight way into the houfe of my Lords brother. 28. Themaid _ therfore ranne , and reported into ( ) her mothers houfe al things that he Her father fhe had heard. 2 y. And Rebecca had a brother named Laban who i inal haat oe haft went torth to the man, where the tountaine was, 3c. And when he wines & eueric had feen the earelets and bracelets in his fifters hands , and had heard al ‘onea feueral her words reporting : Thefe words fpake the man vnto me; he came to :houfe,fhe went the man which ftood betide the camels, and nigh tothe fountaine of ie! her mothers water: 31. and faid tohim: Comcin, thou bleffed of our Lord: Why houfe, {tandeft thou without : I haue prepared the houfe, anda place for the camels. 32. And he brought him in into his lodging : : and he vnharnefied the camels, and gaue ftraw and hay, and water to ‘wash his feet, and of the men that were come with him. 23. And bread was fet before him, Who faid : I wilnot eate til I fpeake my meflage. He anfwered him: Speake, 34. And he faid:] amthe feruantof Abraham: 35. and our Lord hath bleffed my I ord wondertully , and heis magnified: and he hath giuen him sheep, & oxen,liluer and ‘sold, men feruants & women feruants , camels , and affes. 36. And Sara my Lordes wite hath borne my Lord a fonne i in her old age,and he hath giuen him al things that he had. 37. And my Lord adiured me faying : Thou shalt nottake a wife for my fonne of the Chananites,in whofe land 1 dwel: 38. but thou shalt goeto my fathers houfe ,and of mine owne kindred shaltthou take awite tor my fonne:39. put I anfwered my Lord: What it the woman — ee a + wil not --- PAGE 94 --- rT 7c) Aschildren ought not to ma y without their parents good liking;fo the parties Jowne confent is moft neceffa. ‘ rie. SweAmb, Epift.43. 76 GENESIS, Abraham. wil not come wihme? 4c. Out Lord faith he,in whofe fight I walke, [ wil fend his Angel with thee, & wildirect thy way: and thou shalt take a wite for my fonne of myne owne kindred , and of my fathers houfe, 41. Thou fhakt be innocent trom my curfe, when thou {halt come to my Kinne, and they wil not giue her thee. 42. I came therfore to day to the wel of water,and {aid : O- Lord. God of my Lord Abraham, if thou haft directed my way,wherin I now walke, 43. behold! ftand befides. the . wel of water,and thevirgin, that fhal-come forth to draw water, when fhe fhal heare mic fay.: Giue-mea litle water to drinke of thy. thankard? 44. and fhe fhal fay-to me =, Drinke both thou and for thy. camels I wil draw alfo ; thatis the woman, which our Lord hath prepared for my Mafters. fonne. 45. And whileft I pondered thefe things. feeretly with my felfe, Rebecca appeared comming with atankard, which she caried vpon her shoulder :.& she went downe to the fountaine,& drew water, And I faidto-her:Gine mea litle ta drinke. 46-Who fpeedily let downe . the tankard fram her fhoulder,and faid to me:Drinke both thou,and to thy camels I wilgiuedrinke, I dranke, and fhe watered the cammels;: 47-And I asked her,and faid : Whofe daughter art thou ? Who anfwe-’ red: 1 am che daughter of Bathuel,the fonne of Nachor, whom Melcha bare him.t hung tnerfore carelertessto adorne her face, and. I put brace- : lets.vpon her hands. 48. And proftrate I adored our Lord, bleffing the. , Lord God of my Lord Abraham, who hath brought me the ftraighe way. to take the daughter of my Lords brother for his fonne. 49. Wher- tore if you doe accordin to mercie and truth with my Lord, thew me: but ifit pleafe you othcrwife,that alfo tel me,chat I may goe to the right. hand or to thelett. 50. Aud Labanand Bathucl anfwered : From our Lord the word hath proceeded : we can:not {peake any other ching with thee betides his pleafure. 51. Bchold Rebecca is betore thec, take her and goe thy waies, & Ict her be the wite of thy Lordsfonne,.as.our Lord hath fpoken. 52. Which when.Abrahams feruant heard , falling downe he adored our Lord to the ground. 53. And taking forth veffels of filuer, and gold , and garments., gaue themto Rebecca for a prefent. _ To her brothers.alfo , and.ro.her mother he offered guifts.. 5 4.A banket was made,and eating and drinking together they lodged there.. And in the morning the feruant arefe , and faid : Difmiffe me,that I may goe to my Lord. 55~And her brother and mother anfwered:Let the maid tarie at the leaftrenne dayes with vs, & after fhe thal depart.56. Stay me not, faid he becaufe our Lord hath dire€tcd my way ? difmiffe me that I may goc en to my Lord, 5 7, And they faid : Let vs cal the maid,and (c)aske her wil. §8. And being called, when fhe was come , they asked : Wilt thou goe with this man? Who faid:I wil goe. 59. They difmiffed her therfore, and her nurce, and Abrahams {cruant, and his companie,
Gn	22:60	withing profperitic to their fifter , and faying : Thou arcour filter, enc:eafe thou into thoufand thoufands, and thy {eed poffeffe the gates of their enemies. 61. Therfore Rebecca and her maids being Re vpon camels, --- PAGE 95 --- oan 14, ludic.7. I, Reg, 74. AG, 1, a Abraham, GENESIS. ad camels, followed the man ; who wit. ipeed xeturned vato his Lord;.an
Gn	22:62	the fame time Ifaac walked along the way , thatleadeth to the we ofthe Liuing and the {ecing, fo called;tor he dwelt in the fouth countrie:
Gn	22:63	medirate in the field ,the day now being wel {pent : and when he had cait vp his eyes , he faw camels com- ming a farre off. 64. Rebecca alfo , when she faw Ifaac, lighted off the camel, 65. and {aid to the feruant: Who isthat man which commeth towards vs along the field? And he faidto her : The fame is my Lord. But she quickly taking her cloake , couered her felte. 66. And the fer~ uant told Ifaac al things that he had done, 67. Who brought her into the tent of Sara his mother, & tooke her to wife:and he loued her fo much, that it did moderate the forrow which was chanced of his mothers death, ANNOTATION S&S CHAP XXIV.
